stem,split,image_path,mask_microaneurysms,mask_haemorrhages,mask_soft_exudates,mask_hard_exudates,mask_optic_disc
IDRiD_59,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_59.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_59_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_59_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_59_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_59_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_59_OD.tif
IDRiD_60,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_60.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_60_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_60_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_60_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_60_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_60_OD.tif
IDRiD_61,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_61.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_61_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_61_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_61_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_61_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_61_OD.tif
IDRiD_62,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_62.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_62_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_62_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_62_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_62_OD.tif
IDRiD_63,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_63.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_63_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_63_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_63_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_63_OD.tif
IDRiD_64,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_64.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_64_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_64_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_64_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_64_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_64_OD.tif
IDRiD_65,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_65.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_65_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_65_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_65_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_65_OD.tif
IDRiD_66,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_66.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_66_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_66_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_66_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_66_OD.tif
IDRiD_67,val,A. Segmentation\1. Original Images\c. All Images\IDRiD_67.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_67_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_67_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_67_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_67_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_67_OD.tif
IDRiD_68,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_68.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_68_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_68_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_68_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_68_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_68_OD.tif
IDRiD_69,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_69.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_69_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_69_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_69_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_69_OD.tif
IDRiD_70,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_70.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_70_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_70_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_70_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_70_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_70_OD.tif
IDRiD_71,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_71.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_71_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_71_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_71_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_71_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_71_OD.tif
IDRiD_72,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_72.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_72_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_72_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_72_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_72_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_72_OD.tif
IDRiD_73,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_73.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_73_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_73_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_73_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_73_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_73_OD.tif
IDRiD_74,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_74.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_74_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_74_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_74_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_74_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_74_OD.tif
IDRiD_75,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_75.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_75_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_75_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_75_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_75_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_75_OD.tif
IDRiD_76,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_76.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_76_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_76_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_76_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_76_OD.tif
IDRiD_77,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_77.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_77_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_77_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_77_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_77_OD.tif
IDRiD_78,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_78.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_78_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_78_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_78_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_78_OD.tif
IDRiD_79,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_79.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_79_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_79_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_79_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_79_OD.tif
IDRiD_80,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_80.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_80_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_80_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_80_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_80_OD.tif
IDRiD_81,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_81.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_81_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_81_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_81_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_81_OD.tif
